"index","collection","packageId","granuleId","title","detailsLink","pdfLink","pdfSize","htmlLink","htmlSize","xmlLink","xmlSize","otherLink1","other1Size","otherLink2","other2Size","teaser","historical","publishdate"
"1","Bulk Submission","GOVPUB-D301-PURL-gpo68161","","US Forces Pacific Culture Guide: Japan","https://www.govinfo.gov/app/details/GOVPUB-D301-PURL-gpo68161","https://www.govinfo.gov/content/pkg/GOVPUB-D301-PURL-gpo68161/pdf/GOVPUB-D301-PURL-gpo68161.pdf","18.5 MB","","0 B","","0 B","","0 B","","0 B"," Culture Guide Okinawa • This guide is designed to prepare you to deploy to culturally complex environments and successfully achieve mission objectives. The fundamental information it contains will help you understand the decisive cultural dimension of your assigned location and gain skills necessary for achieving mission success (Photo: US Forces ...","","2015-01-01"
"2","Compilation of Presidential Documents","DCPD-201700819","","The President's News Conference With Prime Minister Shinzo Abe of Japan in Tokyo, Japan","https://www.govinfo.gov/app/details/DCPD-201700819","https://www.govinfo.gov/content/pkg/DCPD-201700819/pdf/DCPD-201700819.pdf","77.4 KB","https://www.govinfo.gov/content/pkg/DCPD-201700819/html/DCPD-201700819.htm","33.3 KB","","0 B","","0 B","","0 B"," Minister Abe. Ladies and gentlemen, at the outset, may I begin by offering my condolence to the victims who lost their lives, as well as my sympathy to the people injured in the recent shooting incidents in Texas. I'd like to express my heartfelt solidarity to the people of the United States in this time of difficulty. It was only 1 year ago&...","","2017-11-06"
"3","United States Reports","USREPORTS-356","USREPORTS-356-FrontMatter","Table of Statutes Cited","https://www.govinfo.gov/app/details/USREPORTS-356/USREPORTS-356-FrontMatter","https://www.govinfo.gov/content/pkg/USREPORTS-356/pdf/USREPORTS-356-FrontMatter.pdf","506.7 KB","","0 B","","0 B","","0 B","","0 B","487 148,165 1863, Mar. 2, c. 67, 12 Stat. 696 590 1864, July 2, c. 217, 13 Stat. 365 1 1865, Mar. 3, e. 79, 13 Stat. 487 86 1868, July 27, c. 249, 15 Stat. 223 44 1870, May 31, No. 67, 16 Stat. 378 1 1887, Feb. 4, c. 104, §§ 1, 3, 24 Stat. 379. 421 §5 481 §13 906 1890, July 2, c. 647, §§ 1, 2, 26 Stat. 209. 1,677 §4 1,481,677 1903, Feb. 11, c. 544,...","",""
"4","Congressional Hearings","CHRG-112hhrg66531","CHRG-112hhrg66531","The Future of Japan","https://www.govinfo.gov/app/details/CHRG-112hhrg66531/CHRG-112hhrg66531","https://www.govinfo.gov/content/pkg/CHRG-112hhrg66531/pdf/CHRG-112hhrg66531.pdf","1.9 MB","https://www.govinfo.gov/content/pkg/CHRG-112hhrg66531/html/CHRG-112hhrg66531.htm","68.8 KB","","0 B","","0 B","","0 B","TWELFTH CONGRESS FIRST SESSION MAY 24, 2011 Serial No. 112-31 Printed for the use of the Committee on Foreign Affairs Available via the World Wide Web: http://www.foreignaffairs.house.gov/ ______ U.S. GOVERNMENT PRINTING OFFICE 66-531 WASHINGTON : 2011 For sale by the Superintendent of Documents, U.S. Government Printing Office, http://...","","2011-05-24"
"5","Bulk Submission","GOVPUB-D5-PURL-gpo80359","","India-Japan Strategic Cooperation and Implications for U.S. Strategy in the Indo-Asia-Paciffic Region","https://www.govinfo.gov/app/details/GOVPUB-D5-PURL-gpo80359","https://www.govinfo.gov/content/pkg/GOVPUB-D5-PURL-gpo80359/pdf/GOVPUB-D5-PURL-gpo80359.pdf","882.2 KB","","0 B","","0 B","","0 B","","0 B"," PERSPECTIVES 24 Center for Strategic Research Institute for National Strategic Studies National Defense University Institute for National Strategic Studies National Defense University The Institute for National Strategic Studies (INSS) is National Defense University’s (NDU’s) dedicated research arm. INSS includes the Center for Strategic ...","","2017-01-01"
"6","Bulk Submission","GOVPUB-D301-PURL-gpo153488","","Military-Civil Fusion Terminology: A Reference Guide","https://www.govinfo.gov/app/details/GOVPUB-D301-PURL-gpo153488","https://www.govinfo.gov/content/pkg/GOVPUB-D301-PURL-gpo153488/pdf/GOVPUB-D301-PURL-gpo153488.pdf","639.5 KB","","0 B","","0 B","","0 B","","0 B"," Aerospace Studies Institute February 2021 Printed in the United States of America by the China Aerospace Studies Institute To request additional copies, please direct inquiries to Director, China Aerospace Studies Institute, Air University, 55 Lemay Plaza, Montgomery, AL 36112 All photos licensed under the Creative Commons Attribution-Share Alike...","","2021-01-01"
"7","Congressional Record (Bound Edition)","CRECB-2011-pt4","CRECB-2011-pt4-Pg5634","EXTENSION OF MORNING BUSINESS","https://www.govinfo.gov/app/details/CRECB-2011-pt4/CRECB-2011-pt4-Pg5634","https://www.govinfo.gov/content/pkg/CRECB-2011-pt4/pdf/CRECB-2011-pt4-Pg5634.pdf","136.8 KB","https://www.govinfo.gov/content/pkg/CRECB-2011-pt4/html/CRECB-2011-pt4-Pg5634.htm","22.9 KB","","0 B","","0 B","","0 B"," 10:30 p.m., with Senators permitted to speak for up to 10 minutes each, with the majority leader to be recognized at 10:30 p.m. The PRESIDING OFFICER. Is there objection? [[Page 5635]] Without objection, it is so ordered. The PRESIDING OFFICER. The Senator from Texas is recognized. Mrs. HUTCHISON. Mr. President, I ask unanimous consent to add ...","","2011-04-08"
"8","Congressional Record","CREC-2011-04-08","CREC-2011-04-08-pt1-PgS2338","EXTENSION OF MORNING BUSINESS","https://www.govinfo.gov/app/details/CREC-2011-04-08/CREC-2011-04-08-pt1-PgS2338","https://www.govinfo.gov/content/pkg/CREC-2011-04-08/pdf/CREC-2011-04-08-pt1-PgS2338.pdf","167.3 KB","https://www.govinfo.gov/content/pkg/CREC-2011-04-08/html/CREC-2011-04-08-pt1-PgS2338.htm","22.9 KB","","0 B","","0 B","","0 B"," 10:30 p.m., with Senators permitted to speak for up to 10 minutes each, with the majority leader to be recognized at 10:30 p.m. The PRESIDING OFFICER. Is there objection? Without objection, it is so ordered. The PRESIDING OFFICER. The Senator from Texas is recognized. Mrs. HUTCHISON. Mr. President, I ask unanimous consent to add Senators Leahy...","","2011-04-08"
"9","Bulk Submission","GOVPUB-D301-PURL-gpo214890","","The Regenerating Road: China's Rapid Runway Repair Capabilities and Other Recovery Methods","https://www.govinfo.gov/app/details/GOVPUB-D301-PURL-gpo214890","https://www.govinfo.gov/content/pkg/GOVPUB-D301-PURL-gpo214890/pdf/GOVPUB-D301-PURL-gpo214890.pdf","3.6 MB","","0 B","","0 B","","0 B","","0 B","China Aerospace Studies Institute China Aerospace Studies Institute 3 Printed in the United States of America by the China Aerospace Studies Institute To request additional copies, please direct inquiries to Director, China Aerospace Studies Institute, Air University, 55 Lemay Plaza, Montgomery, AL 36112 All photos licensed under the Creative ...","","2023-01-01"
"10","Congressional Committee Prints","CPRT-96SPRT60635O","CPRT-96SPRT60635O","Japan's contribution to military stability in Northeast Asia.","https://www.govinfo.gov/app/details/CPRT-96SPRT60635O/CPRT-96SPRT60635O","https://www.govinfo.gov/content/pkg/CPRT-96SPRT60635O/pdf/CPRT-96SPRT60635O.pdf","50.3 MB","","0 B","","0 B","","0 B","","0 B"," TO MILITARY STABILITY IN NORTHEAST ASIA PREPARED FOR THE SUBCOMMITTEE ON EAST ASIAN AND PACIFIC AFFAIRS OF THE COMMITTEE ON FOREIGN RELATIONS UNITED STATES SENATE BY THE U.S. ARMS CONTROL AND DISARAIAMENT AGENCY COMMITTEE ON FOREIGN RELATIONS FRANK CHURCH, Idaho, Chairman CLAIBORNE PELL, Rhode Island GEORGE McGOVERN, South Dakota JOSEPH R. BIDEN,...","","1980-06-01"
